trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.01, 'e': 0.03999999999999925}",25,0,-16.875509483110115,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.02999999999999925}",35,0,-30.686856173946175,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.019999999999999248}",25,0,-22.59185502511154,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-28.11448170400071,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-12.827929682814833,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-55.26303883079722,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-37.381438978665415,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-48.13324940702569,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-32.591439608511166,"{0: 22, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-39.20483003183061,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-48.9106454512969,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-20.333579916921813,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-3.323244936739383,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.037142350274992,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",30,0,-38.86833115899358,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.147339716397726,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.35291102002348,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",25,0,-14.55176860822842,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",25,0,-15.92010421242832,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,0,-31.558891939227145,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.23830558436306,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.838877480093002,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.352984310818739,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",30,0,-29.53850068460084,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.662186745786165,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.91255585347605,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",20,0,0.728238188799895,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-18.333148474380824,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.4568041907674,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,0,-12.753285328224573,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-18.52927512099345,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",30,0,-5.599178404330251,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,0,-9.407650964233405,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
